passing_yards,passing_epa,passing_cpoe,pacr,roof,surface,temp,wind,is_home,def_tackles_solo_y,def_tackles_with_assist_y,def_tackle_assists_y,def_tackles_for_loss_y,def_tackles_for_loss_yards_y,def_fumbles_forced_y,def_sacks_y,def_sack_yards_y,def_qb_hits_y,def_interceptions_y,def_interception_yards_y,def_pass_defended_y,def_tds_y,def_fumbles_y,def_safeties_y,comp_percent,avg_time_to_throw,aggressiveness,passer_rating,expected_completion_percentage,completion_percentage_above_expectation,cumulative_avg,def_recent_avg_allowed,def_5game_avg_allowed,def_trend,def_consistency
295,2.854062096416647,7.034775614738464,1.1132075471698113,outdoors,grass,79.0,5.0,0,44,3,25,6,28,0,2.0,17.0,8,2,43,6,0,0,0,0.6666666666666666,2.7108787878787877,12.12121212121212,89.8358585858586,63.864545454545464,2.802121212121193,218.0,218.0,218.0,0.0,79.883428127305
241,-2.0213017329473897,3.616569022978506,0.8546099290780141,outdoors,fieldturf,85.0,3.0,1,37,2,24,6,19,0,3.0,15.0,9,3,73,12,0,0,0,0.65625,2.422375,25.0,69.921875,61.70843749999999,3.916562500000012,197.5,197.5,197.5,0.0,61.518289963229634
220,6.139767758614543,0.763731837272644,1.375,closed,grass,,,1,31,1,23,4,17,0,1.0,9.0,4,1,0,5,0,0,0,0.68,2.6326799999999997,12.0,92.08333333333334,71.4868,-3.4868000000000023,178.0,178.0,178.0,0.0,79.883428127305
316,10.95338626059685,4.9739260565150865,0.96048632218845,closed,fieldturf,,,1,43,0,36,3,17,0,1.0,10.0,6,0,0,5,0,0,0,0.6764705882352942,2.7597058823529412,29.411764705882355,106.98529411764706,53.13411764705881,14.512941176470612,112.0,112.0,112.0,0.0,79.883428127305
315,9.932129502697004,13.74564841389656,1.254980079681275,outdoors,grass,89.0,4.0,1,39,3,19,6,22,0,5.0,18.0,5,1,20,2,0,0,0,0.8125,2.5577499999999995,12.5,115.49479166666669,68.76031250000001,12.489687499999988,362.0,362.0,362.0,0.0,79.883428127305
292,6.662380209949733,10.36571275304865,0.7156862745098039,outdoors,grass,65.0,7.0,1,35,0,30,2,14,0,2.0,23.0,4,0,0,3,0,0,0,0.6129032258064516,3.1427741935483873,9.67741935483871,113.91129032258064,54.33774193548386,6.952580645161298,168.0,168.0,168.0,0.0,79.883428127305
242,10.168125412291896,0.3317459865852638,0.9918032786885246,dome,grass,,,0,34,4,24,8,20,0,2.0,6.0,3,0,0,6,0,0,0,0.7037037037037037,2.953222222222222,11.11111111111111,122.76234567901234,74.87925925925926,-4.50888888888889,287.0,287.0,287.0,0.0,79.883428127305
101,-4.85998605615568,4.396389211927142,0.6047904191616766,outdoors,grass,88.0,12.0,0,37,0,30,5,11,0,1.0,4.0,3,0,0,4,0,0,0,0.6818181818181818,2.6927272727272733,22.727272727272727,78.03030303030303,64.82227272727273,3.35954545454544,318.0,318.0,318.0,0.0,79.883428127305
76,0.1930838447879068,-0.8030536274115244,0.9743589743589745,outdoors,fieldturf,85.0,3.0,1,37,2,24,6,19,0,3.0,15.0,9,3,73,12,0,0,0,0.5384615384615384,,,,,,197.5,197.5,197.5,0.0,61.518289963229634
27,-9.524855010502506,-37.60964214801788,0.2903225806451613,outdoors,fieldturf,80.0,3.0,1,31,2,20,5,37,3,4.0,29.0,7,0,0,4,0,0,0,0.2727272727272727,,,,,,132.5,132.5,132.5,0.0,108.18733752154178
271,5.005488552057198,-4.982346514376198,0.8798701298701299,outdoors,fieldturf,85.0,3.0,0,43,0,26,2,14,0,1.0,10.0,4,2,4,8,0,0,0,0.5714285714285714,2.6808333333333336,11.904761904761903,80.55555555555554,67.59642857142858,-10.453571428571436,290.0,290.0,290.0,0.0,79.883428127305
279,2.688142357473266,-3.62963025507174,1.0984251968503935,dome,sportturf,,,0,39,3,19,7,24,1,3.0,12.0,6,0,0,6,0,0,0,0.6666666666666666,2.8105526315789477,17.94871794871795,113.08760683760684,67.82820512820513,-1.1615384615384698,163.0,163.0,163.0,0.0,79.883428127305
27,0.8962666277075186,-0.5509336789449056,0.7714285714285715,dome,fieldturf,,,0,45,1,25,5,30,1,4.0,29.0,4,1,0,5,0,0,0,0.6666666666666666,,,,,,107.5,107.5,107.5,0.0,113.84419177103415
328,3.2342329092731377,-2.3493665006925477,0.8746666666666667,closed,grass,,,0,44,2,30,6,33,1,3.0,25.0,10,1,4,9,0,0,0,0.6363636363636364,2.713436363636363,20.0,90.5681818181818,64.15163636363636,-0.5152727272727233,214.0,214.0,214.0,0.0,79.883428127305
